is_night,hr,temp,hr_sin,is_peak_hour,hr_cos,is_evening_rush,yr,hum,temp_windspeed_interaction,bad_weather,registered_ratio,month_cos,season,is_winter,cnt,casual,registered,dteday,casual_ratio,cluster
1,0.0,0.24,0.0,0,1.0,0,0.0,0.81,0.0,1,0.8124999492187531,0.8660254037844387,1.0,1,16.0,3.0,13.0,2011-01-01,0.1874999998828125,1
1,1.0,0.22,0.2588190451025207,0,0.9659258262890684,0,0.0,0.8,0.0,0,0.7999999800000005,0.8660254037844387,1.0,1,40.0,8.0,32.0,2011-01-01,0.19999999995,1
1,2.0,0.22,0.4999999999999999,0,0.8660254037844387,0,0.0,0.8,0.0,0,0.8437499736328133,0.8660254037844387,1.0,1,32.0,5.0,27.0,2011-01-01,0.15624999995117186,1
1,3.0,0.24,0.7071067811865476,0,0.7071067811865476,0,0.0,0.75,0.0,0,0.7692307100591762,0.8660254037844387,1.0,1,13.0,3.0,10.0,2011-01-01,0.23076923059171597,1
1,4.0,0.24,0.8660254037844386,0,0.5000000000000001,0,0.0,0.75,0.0,0,0.999999000001,0.8660254037844387,1.0,1,1.0,0.0,1.0,2011-01-01,0.0,1
1,5.0,0.24,0.9659258262890684,0,0.2588190451025207,0,0.0,0.75,0.021504,0,0.999999000001,0.8660254037844387,1.0,1,1.0,0.0,1.0,2011-01-01,0.0,1
0,6.0,0.22,1.0,0,6.123233995736766e-17,0,0.0,0.8,0.0,0,0.0,0.8660254037844387,1.0,1,2.0,2.0,0.0,2011-01-01,0.999999995,1
0,7.0,0.2,0.9659258262890684,1,-0.2588190451025206,0,0.0,0.86,0.0,1,0.6666664444445185,0.8660254037844387,1.0,1,3.0,1.0,2.0,2011-01-01,0.3333333322222222,1
0,9.0,0.32,0.7071067811865476,1,-0.7071067811865475,0,0.0,0.76,0.0,0,0.4285713979591858,0.8660254037844387,1.0,1,14.0,8.0,6.0,2011-01-01,0.5714285710204081,1
0,10.0,0.38,0.4999999999999999,0,-0.8660254037844387,0,0.0,0.76,0.0964059999999999,0,0.6666666481481487,0.8660254037844387,1.0,1,36.0,12.0,24.0,2011-01-01,0.3333333332407407,1
0,11.0,0.36,0.258819045102521,0,-0.9659258262890682,0,0.0,0.81,0.102096,1,0.5357142761479594,0.8660254037844387,1.0,1,56.0,26.0,30.0,2011-01-01,0.4642857142028061,1
0,12.0,0.42,1.2246467991473532e-16,0,-1.0,0,0.0,0.77,0.119112,0,0.6547618969671203,0.8660254037844387,1.0,1,84.0,29.0,55.0,2011-01-01,0.3452380951969955,1
0,13.0,0.46,-0.2588190451025208,0,-0.9659258262890684,0,0.0,0.72,0.13731,0,0.4999999946808511,0.8660254037844387,1.0,1,94.0,47.0,47.0,2011-01-01,0.49999999994680855,1
0,14.0,0.46,-0.4999999999999997,0,-0.8660254037844388,0,0.0,0.72,0.130456,0,0.6698113144357424,0.8660254037844387,3.0,0,106.0,35.0,71.0,2011-01-01,0.33018867921413314,1
0,15.0,0.44,-0.7071067811865471,0,-0.7071067811865479,0,0.0,0.77,0.08536,0,0.6363636305785124,0.8660254037844387,1.0,1,110.0,40.0,70.0,2011-01-01,0.3636363636033058,1
